"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.181832042×10^0,2.149974418×10^-1,4.158557314×10^-1,1.173244552×10^-1,4.826229554×10^-1
1.191781042×10^0,2.396297879×10^-1,2.249821472×10^-1,1.636285559×10^-1,3.671698600×10^-1
1.201731042×10^0,2.623689152×10^-1,2.546813250×10^-2,2.101417677×10^-1,3.371136840×10^-1
1.211680042×10^0,2.690225715×10^-1,-1.656919652×10^-1,1.886873102×10^-1,3.680079787×10^-1
1.221630042×10^0,2.748879501×10^-1,-3.308939338×10^-1,1.543115294×10^-1,4.570188493×10^-1
1.231579042×10^0,2.795373271×10^-1,-5.290812153×10^-1,1.866326717×10^-1,6.268172012×10^-1
1.241529042×10^0,2.606870732×10^-1,-7.241624558×10^-1,2.254440773×10^-1,8.019937933×10^-1
1.251478042×10^0,2.549042866×10^-1,-9.185163027×10^-1,2.552590299×10^-1,9.868158724×10^-1
1.261428042×10^0,2.339647130×10^-1,-1.119734781×10^0,3.193643939×10^-1,1.187661182×10^0
1.271377042×10^0,2.101030299×10^-1,-1.289008750×10^0,4.042203569×10^-1,1.367143350×10^0
1.281325917×10^0,1.758931273×10^-1,-1.471217930×10^0,4.504751949×10^-1,1.548660225×10^0
1.291275917×10^0,1.515351983×10^-1,-1.614037927×10^0,4.411782682×10^-1,1.680095119×10^0
1.301224917×10^0,1.834355238×10^-1,-1.786261817×10^0,4.858999662×10^-1,1.860236180×10^0
1.311174917×10^0,1.818746096×10^-1,-1.951922792×10^0,4.961081815×10^-1,2.022178104×10^0
1.321123917×10^0,1.590467508×10^-1,-2.092959387×10^0,5.042334723×10^-1,2.158709397×10^0
1.331073917×10^0,1.590084881×10^-1,-2.222515560×10^0,5.242869370×10^-1,2.289046943×10^0
1.341022917×10^0,1.325511894×10^-1,-2.343586838×10^0,5.240717594×10^-1,2.405123758×10^0
1.350972917×10^0,1.131564867×10^-1,-2.470977201×10^0,5.533069606×10^-1,2.534695507×10^0
1.360921917×10^0,7.631168257×10^-2,-2.598036028×10^0,6.166732366×10^-1,2.671310644×10^0
1.370871917×10^0,4.703796286×10^-2,-2.703068393×10^0,6.331763450×10^-1,2.776635301×10^0
1.380820917×10^0,4.974752605×10^-2,-2.795690044×10^0,6.176063061×10^-1,2.863528450×10^0
1.390770917×10^0,5.616250634×10^-2,-2.863194979×10^0,5.834866333×10^-1,2.922583851×10^0
1.400719917×10^0,4.592403173×10^-2,-2.921772385×10^0,5.667953177×10^-1,2.976595340×10^0
1.410669917×10^0,2.644149290×10^-2,-2.976199438×10^0,5.672487693×10^-1,3.029890000×10^0
1.420618917×10^0,2.737278990×10^-2,-3.036078435×10^0,5.226090053×10^-1,3.080850808×10^0
1.430568917×10^0,7.729799822×10^-3,-3.087344483×10^0,5.187250654×10^-1,3.130627956×10^0
1.440517917×10^0,-2.264900710×10^-3,-3.113692621×10^0,5.288818252×10^-1,3.158291129×10^0
