"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.084137958×10^0,-1.280743419×10^-1,-1.623987549×10^0,-4.187191129×10^-2,1.629567996×10^0
5.094087958×10^0,-1.724854431×10^-1,-1.484618579×10^0,1.723393723×10^-2,1.494704172×10^0
5.104037958×10^0,-1.695335128×10^-1,-1.346571080×10^0,8.642287061×10^-2,1.359950072×10^0
5.113986958×10^0,-1.455369052×10^-1,-1.166085659×10^0,1.109893624×10^-1,1.180362399×10^0
5.123936958×10^0,-8.485669389×10^-2,-9.981787688×10^-1,1.442135341×10^-1,1.012106248×10^0
5.133885958×10^0,-2.780212171×10^-2,-8.436649257×10^-1,1.969375853×10^-1,8.667917151×10^-1
5.143835958×10^0,2.033497151×10^-2,-6.758691323×10^-1,2.461022902×10^-1,7.195685737×10^-1
5.153784958×10^0,8.230306864×10^-2,-5.032832998×10^-1,3.011889088×10^-1,5.922690552×10^-1
5.163734958×10^0,1.003698687×10^-1,-3.010702103×10^-1,3.847609694×10^-1,4.987568402×10^-1
5.173683958×10^0,1.251844286×10^-1,-9.215679646×10^-2,4.394414990×10^-1,4.661253558×10^-1
5.183633958×10^0,1.513524728×10^-1,1.166256398×10^-1,4.593126766×10^-1,4.974708492×10^-1
5.193582958×10^0,1.753997319×10^-1,2.920982426×10^-1,4.295026942×10^-1,5.482326273×10^-1
5.203532958×10^0,2.139958137×10^-1,4.728760242×10^-1,3.122506714×10^-1,6.057280119×10^-1
5.213481958×10^0,2.507688799×10^-1,6.769233853×10^-1,1.275486772×10^-1,7.330613656×10^-1
5.223431958×10^0,2.552465314×10^-1,8.777161860×10^-1,-7.446531460×10^-2,9.171049984×10^-1
5.233380958×10^0,2.626721664×10^-1,1.092103179×10^0,-2.841148929×10^-1,1.158623015×10^0
5.243330958×10^0,2.245832940×10^-1,1.276534300×10^0,-4.565808575×10^-1,1.374206519×10^0
5.253279958×10^0,1.508977422×10^-1,1.421984375×10^0,-5.841600864×10^-1,1.544685307×10^0
5.263229958×10^0,4.662620924×10^-2,1.557301224×10^0,-6.356997840×10^-1,1.682698821×10^0
5.273178958×10^0,-5.017645586×10^-2,1.685983238×10^0,-6.947380972×10^-1,1.824203437×10^0
5.283128958×10^0,-1.285879832×10^-1,1.819200937×10^0,-7.464555502×10^-1,1.970589456×10^0
5.293077958×10^0,-1.804081645×10^-1,1.952353147×10^0,-8.008090742×10^-1,2.117905826×10^0
5.303027958×10^0,-2.190488679×10^-1,2.070374517×10^0,-7.986358103×10^-1,2.229854750×10^0
5.312976958×10^0,-2.404603483×10^-1,2.160269026×10^0,-7.654623632×10^-1,2.304455700×10^0
5.322926958×10^0,-2.378145563×10^-1,2.211951395×10^0,-6.643303831×10^-1,2.321770789×10^0
5.332875958×10^0,-2.499330935×10^-1,2.253038025×10^0,-5.092829816×10^-1,2.323363091×10^0
5.342825958×10^0,-2.695331431×10^-1,2.306337150×10^0,-3.046365733×10^-1,2.341931384×10^0
5.352774958×10^0,-2.857324520×10^-1,2.348986157×10^0,-8.114181161×10^-2,2.367691490×10^0
5.362724958×10^0,-2.541370588×10^-1,2.391533421×10^0,5.777151391×10^-2,2.405692270×10^0
5.372673958×10^0,-2.168595241×10^-1,2.411095866×10^0,1.519447227×10^-1,2.425592407×10^0
5.382623958×10^0,-1.225566168×10^-1,2.401687696×10^0,1.698395415×10^-1,2.410802643×10^0
5.392572958×10^0,-5.864402812×10^-2,2.400280856×10^0,1.062791379×10^-1,2.403348199×10^0
5.402522958×10^0,4.062364038×10^-2,2.413299097×10^0,-6.058738679×10^-3,2.413648591×10^0
5.412472958×10^0,9.915752158×10^-2,2.406194730×10^0,-1.224841113×10^-1,2.411349757×10^0
5.422421958×10^0,1.258345294×10^-1,2.384489281×10^0,-2.226922314×10^-1,2.398169153×10^0
5.432371958×10^0,1.025353484×10^-1,2.329107962×10^0,-3.205407076×10^-1,2.353296357×10^0
5.442320958×10^0,9.300599489×10^-2,2.257907002×10^0,-4.268139982×10^-1,2.299774844×10^0
5.452270958×10^0,6.247969195×10^-2,2.149128326×10^0,-5.489238878×10^-1,2.219002863×10^0
5.462219958×10^0,4.101459984×10^-2,2.057604783×10^0,-6.796793242×10^-1,2.167344832×10^0
5.472169958×10^0,3.570861708×10^-2,1.978794841×10^0,-7.705425704×10^-1,2.123826730×10^0
5.482118958×10^0,1.241239630×10^-2,1.872322891×10^0,-8.391713405×10^-1,2.051817637×10^0
5.492068958×10^0,3.018478900×10^-3,1.731267584×10^0,-8.668087900×10^-1,1.936144116×10^0
5.502017958×10^0,-3.559649672×10^-2,1.556733459×10^0,-8.093389924×10^-1,1.754911900×10^0
5.511967958×10^0,-1.079020326×10^-1,1.355814359×10^0,-6.403192306×10^-1,1.503291103×10^0
5.521916958×10^0,-1.673719068×10^-1,1.160928415×10^0,-4.506295614×10^-1,1.256517068×10^0
5.531866958×10^0,-2.059094799×10^-1,9.889407527×10^-1,-2.310059488×10^-1,1.036226942×10^0
5.541815958×10^0,-2.241689457×10^-1,8.076273662×10^-1,-5.338727161×10^-2,8.398594404×10^-1
5.551765958×10^0,-2.229822167×10^-1,6.163421381×10^-1,1.025016904×10^-1,6.634043237×10^-1
5.561714958×10^0,-1.872140311×10^-1,4.163141531×10^-1,2.222516437×10^-1,5.077030241×10^-1
5.571664958×10^0,-1.359200627×10^-1,2.228508371×10^-1,3.152057080×10^-1,4.092571287×10^-1
5.581613958×10^0,-9.459311195×10^-2,2.169726312×10^-2,3.666579898×10^-1,3.792844704×10^-1
5.591563958×10^0,-7.900977060×10^-2,-1.527520770×10^-1,4.395669217×10^-1,4.720114613×10^-1
5.601512958×10^0,-6.157567587×10^-2,-3.128611207×10^-1,4.836020105×10^-1,5.792620730×10^-1
5.611462958×10^0,-4.738181569×10^-2,-4.849236274×10^-1,5.106385124×10^-1,7.057957574×10^-1
5.621411958×10^0,-2.870730724×10^-2,-6.836435902×10^-1,5.149503954×10^-1,8.563682488×10^-1
5.631361958×10^0,-8.161616698×10^-4,-8.744703966×10^-1,4.821907850×10^-1,9.986025705×10^-1
5.641310958×10^0,3.726430535×10^-2,-1.028908226×10^0,3.998840618×10^-1,1.104512575×10^0
5.651260958×10^0,6.602544352×10^-2,-1.157442890×10^0,2.741092837×10^-1,1.191288925×10^0
5.661209958×10^0,1.003523818×10^-1,-1.282875606×10^0,1.307191837×10^-1,1.293417151×10^0
5.671159958×10^0,1.225230867×10^-1,-1.416513720×10^0,2.188612819×10^-2,1.421971177×10^0
5.681108833×10^0,1.086186271×10^-1,-1.553254366×10^0,-2.771214768×10^-2,1.557294158×10^0
5.691057833×10^0,1.090278226×10^-1,-1.704603111×10^0,-4.726655245×10^-2,1.708740167×10^0
5.701007833×10^0,9.571347501×10^-2,-1.823948876×10^0,-5.681300908×10^-3,1.826467314×10^0
5.710956833×10^0,8.009587264×10^-2,-1.938271882×10^0,3.432417914×10^-2,1.940229725×10^0
5.720906833×10^0,6.793258600×10^-2,-2.013808553×10^0,5.950579807×10^-2,2.015832499×10^0
5.730855833×10^0,5.009360813×10^-2,-2.108059822×10^0,1.013873573×10^-1,2.111090945×10^0
5.740805833×10^0,4.133740269×10^-2,-2.207981721×10^0,1.557420507×10^-1,2.213853574×10^0
5.750754833×10^0,5.010844544×10^-2,-2.289320583×10^0,1.828459418×10^-1,2.297157423×10^0
5.760704833×10^0,4.928493820×10^-2,-2.348302032×10^0,2.382857323×10^-1,2.360875162×10^0
5.770653833×10^0,5.890854154×10^-2,-2.394214954×10^0,3.003409164×10^-1,2.413698434×10^0
5.780603833×10^0,5.887652803×10^-2,-2.409785505×10^0,4.034042318×10^-1,2.444026923×10^0
5.790552833×10^0,3.668327484×10^-2,-2.413324240×10^0,5.255674772×10^-1,2.470162084×10^0
5.800502833×10^0,1.942803182×10^-2,-2.440872812×10^0,6.560796694×10^-1,2.527583443×10^0
5.810451833×10^0,1.333446566×10^-2,-2.443632113×10^0,7.433774297×10^-1,2.554236816×10^0
5.820401833×10^0,-2.206505299×10^-2,-2.432769156×10^0,8.092487991×10^-1,2.563929845×10^0
5.830350833×10^0,-1.297650643×10^-2,-2.369550814×10^0,8.313101976×10^-1,2.511178228×10^0
5.840300833×10^0,-1.484213367×10^-2,-2.286313945×10^0,8.041449107×10^-1,2.423654427×10^0
5.850249833×10^0,-2.636326812×10^-3,-2.177474458×10^0,7.462649310×10^-1,2.301806532×10^0
5.860199833×10^0,2.293394923×10^-2,-2.078637217×10^0,6.914743276×10^-1,2.190752244×10^0
5.870148833×10^0,2.781779956×10^-2,-1.984578906×10^0,6.147495027×10^-1,2.077797925×10^0
5.880098833×10^0,3.588608008×10^-2,-1.864487622×10^0,5.374972589×10^-1,1.940748620×10^0
5.890047833×10^0,1.815359462×10^-2,-1.739691083×10^0,4.459108584×10^-1,1.796020910×10^0
5.899997833×10^0,7.481402792×10^-3,-1.587666984×10^0,3.683254695×10^-1,1.629848482×10^0
5.909946833×10^0,-1.221775711×10^-2,-1.391761286×10^0,2.709659667×10^-1,1.417946158×10^0
5.919896833×10^0,-1.163267009×10^-3,-1.231191482×10^0,1.420977192×10^-1,1.239364991×10^0
5.929845833×10^0,7.732540704×10^-3,-1.065362107×10^0,1.186107695×10^-3,1.065390829×10^0
5.939795833×10^0,5.003908284×10^-2,-8.899696112×10^-1,-1.432733019×10^-1,9.028161815×10^-1
5.949744833×10^0,6.441080801×10^-2,-7.113623160×10^-1,-2.779682998×10^-1,7.664538294×10^-1
5.959694833×10^0,7.202176318×10^-2,-5.062887686×10^-1,-3.755820103×10^-1,6.344897935×10^-1
5.969644833×10^0,8.656123035×10^-2,-2.958948398×10^-1,-4.145455165×10^-1,5.166184163×10^-1
5.979593833×10^0,6.657811504×10^-2,-1.340175980×10^-1,-3.804945485×10^-1,4.088636245×10^-1
5.989543833×10^0,4.316622902×10^-2,1.298725069×10^-2,-3.134774172×10^-1,3.167018837×10^-1
5.999492833×10^0,3.256358251×10^-2,1.609054345×10^-1,-1.997784550×10^-1,2.585776032×10^-1
6.009442833×10^0,2.803601034×10^-2,3.415282649×10^-1,-8.835011289×10^-2,3.538831955×10^-1
6.019391833×10^0,2.489463028×10^-2,5.329012012×10^-1,-1.944886252×10^-2,5.338367645×10^-1
6.029341833×10^0,1.612753440×10^-2,7.241203558×10^-1,4.308213875×10^-2,7.255800837×10^-1
6.039290833×10^0,2.289952375×10^-3,8.783412534×10^-1,1.084180494×10^-1,8.850102117×10^-1
6.049240833×10^0,-1.784807760×10^-2,1.019177290×10^0,1.767578208×10^-1,1.034545421×10^0
6.059189833×10^0,-3.753872249×10^-2,1.161017877×10^0,2.248500001×10^-1,1.183186034×10^0
6.069139833×10^0,-7.205110889×10^-2,1.321553183×10^0,2.961451006×10^-1,1.356243377×10^0
6.079088833×10^0,-9.203725744×10^-2,1.480544824×10^0,3.220589371×10^-1,1.517961064×10^0
6.089038833×10^0,-1.268928389×10^-1,1.632026886×10^0,3.076701088×10^-1,1.665615335×10^0
6.098987833×10^0,-1.569673713×10^-1,1.792583241×10^0,1.797738147×10^-1,1.808400414×10^0
6.108937833×10^0,-1.588642811×10^-1,1.900745037×10^0,4.773666859×10^-3,1.907378395×10^0
6.118886833×10^0,-1.466981988×10^-1,2.022592825×10^0,-2.173437832×10^-1,2.039519653×10^0
6.128836833×10^0,-1.327555131×10^-1,2.138465928×10^0,-4.541124554×10^-1,2.190177772×10^0
6.138785833×10^0,-1.155419680×10^-1,2.270632882×10^0,-6.500994296×10^-1,2.364688753×10^0
6.148735833×10^0,-1.073389092×10^-1,2.370958824×10^0,-7.844893491×10^-1,2.499678164×10^0
6.158684833×10^0,-8.978143819×10^-2,2.450341208×10^0,-8.708677809×10^-1,2.602046009×10^0
6.168634833×10^0,-8.949024685×10^-2,2.478703712×10^0,-8.871230404×10^-1,2.634192075×10^0
6.178583833×10^0,-7.369878117×10^-2,2.487503187×10^0,-8.898725474×10^-1,2.642910662×10^0
6.188533833×10^0,-4.778355595×10^-2,2.499603415×10^0,-8.878717764×10^-1,2.653039161×10^0
6.198482833×10^0,-1.599253681×10^-2,2.507735723×10^0,-8.548405628×10^-1,2.649480440×10^0
6.208432833×10^0,2.242447402×10^-2,2.508794069×10^0,-7.710642882×10^-1,2.624707731×10^0
6.218381833×10^0,4.171385374×10^-2,2.489970712×10^0,-6.585543573×10^-1,2.575924695×10^0
6.228331833×10^0,5.362017352×10^-2,2.408530108×10^0,-4.913590729×10^-1,2.458724495×10^0
6.238280833×10^0,4.980778892×10^-2,2.320775095×10^0,-2.725631337×10^-1,2.337256623×10^0
6.248230833×10^0,4.738554329×10^-2,2.220498855×10^0,-5.848852873×10^-2,2.221774395×10^0
6.258179833×10^0,1.622810651×10^-2,2.128977651×10^0,1.065562959×10^-1,2.131704350×10^0
6.268129833×10^0,-1.489289481×10^-2,2.049661340×10^0,2.027346611×10^-1,2.059717153×10^0
6.278078833×10^0,-2.307351496×10^-2,1.958617854×10^0,2.091386779×10^-1,1.969887121×10^0
6.288028833×10^0,-3.241316289×10^-2,1.832806823×10^0,1.487389867×10^-1,1.839117927×10^0
6.297978833×10^0,-3.272039752×10^-2,1.690486178×10^0,7.214177728×10^-2,1.692341153×10^0
6.307927833×10^0,-5.386952072×10^-2,1.568611493×10^0,-1.015792921×10^-2,1.569569089×10^0
6.317877833×10^0,-7.670446929×10^-2,1.440179740×10^0,-1.028256261×10^-1,1.445881866×10^0
6.327826833×10^0,-9.528421629×10^-2,1.307384795×10^0,-1.858071180×10^-1,1.323955577×10^0
6.337776833×10^0,-1.125274360×10^-1,1.159376564×10^0,-2.576587272×10^-1,1.192981333×10^0
6.347725833×10^0,-1.169997154×10^-1,9.852488208×10^-1,-3.449190652×10^-1,1.050415791×10^0
6.357675833×10^0,-9.806376334×10^-2,8.015100092×10^-1,-4.434015258×10^-1,9.212164293×10^-1
6.367624833×10^0,-7.392006174×10^-2,6.240780044×10^-1,-5.138487799×10^-1,8.117746607×10^-1
6.377574833×10^0,-4.312836830×10^-2,4.662265706×10^-1,-5.789689283×10^-1,7.446021026×10^-1
6.387523833×10^0,-1.720630914×10^-2,3.053492028×10^-1,-6.031907268×10^-1,6.762937569×10^-1
6.397473833×10^0,2.637839779×10^-2,1.363021052×10^-1,-5.553920777×10^-1,5.724809549×10^-1
6.407422833×10^0,5.428343050×10^-2,-7.982969642×10^-2,-4.474839056×10^-1,4.577786769×10^-1
6.417372833×10^0,8.073879227×10^-2,-2.924672019×10^-1,-2.804428415×10^-1,4.131634109×10^-1
6.427321833×10^0,1.021421597×10^-1,-4.968887848×10^-1,-1.118011022×10^-1,5.194525692×10^-1
6.437271833×10^0,1.155246456×10^-1,-6.872291028×10^-1,3.819971368×10^-2,6.979176181×10^-1
6.447220833×10^0,1.296079569×10^-1,-8.551582128×10^-1,1.547674660×10^-1,8.786619145×10^-1
6.457170833×10^0,1.601456985×10^-1,-1.021239018×10^0,2.542170560×10^-1,1.064519651×10^0
6.467119833×10^0,1.817589444×10^-1,-1.217279202×10^0,3.417289706×10^-1,1.277334591×10^0
6.477069833×10^0,1.909577475×10^-1,-1.386730927×10^0,4.039794517×10^-1,1.456944378×10^0
6.487018833×10^0,1.956631481×10^-1,-1.550465829×10^0,4.639145815×10^-1,1.630167198×10^0
6.496968833×10^0,1.804408358×10^-1,-1.693599236×10^0,5.334838763×10^-1,1.784780747×10^0
6.506917833×10^0,1.541592460×10^-1,-1.812453250×10^0,5.902391441×10^-1,1.912363486×10^0
6.516867833×10^0,1.421371513×10^-1,-1.923645072×10^0,6.296401682×10^-1,2.029053985×10^0
6.526816833×10^0,1.248684232×10^-1,-2.034117687×10^0,6.365607865×10^-1,2.135049536×10^0
6.536766833×10^0,1.025200726×10^-1,-2.145221801×10^0,5.881682065×10^-1,2.226752968×10^0
6.546715833×10^0,8.899451260×10^-2,-2.243692421×10^0,5.152392478×10^-1,2.303811447×10^0
6.556665833×10^0,7.322742250×10^-2,-2.296357123×10^0,4.166948068×10^-1,2.335005964×10^0
6.566614833×10^0,6.600519754×10^-2,-2.329206195×10^0,3.172805925×10^-1,2.351643077×10^0
6.576564833×10^0,4.287617058×10^-2,-2.333933669×10^0,2.138749225×10^-1,2.344104780×10^0
6.586513833×10^0,3.820139475×10^-2,-2.376422462×10^0,1.474704333×10^-1,2.381300190×10^0
6.596463833×10^0,2.164445546×10^-2,-2.401691204×10^0,1.214409681×10^-1,2.404856967×10^0
6.606412833×10^0,1.686516065×10^-2,-2.414846270×10^0,1.094565149×10^-1,2.417384469×10^0
6.616362833×10^0,1.408941429×10^-2,-2.389615535×10^0,8.217691496×10^-2,2.391069627×10^0
6.626311833×10^0,1.719867121×10^-2,-2.353708368×10^0,7.428098112×10^-2,2.354943001×10^0
6.636261833×10^0,3.129597925×10^-2,-2.295489396×10^0,5.616119072×10^-2,2.296389576×10^0
6.646211833×10^0,3.796761576×10^-2,-2.243652660×10^0,4.287310079×10^-2,2.244383412×10^0
6.656160833×10^0,7.535343356×10^-2,-2.196943932×10^0,2.455845192×10^-2,2.198373011×10^0
6.666110833×10^0,9.343554597×10^-2,-2.132862541×10^0,4.979006454×10^-2,2.135488673×10^0
6.676059833×10^0,1.015639432×10^-1,-2.035292392×10^0,8.350072458×10^-2,2.039534929×10^0
6.686009875×10^0,1.118000789×10^-1,-1.932938637×10^0,1.618639393×10^-1,1.942923304×10^0
6.695958875×10^0,1.403664317×10^-1,-1.803994083×10^0,2.294118516×10^-1,1.823931792×10^0
6.705908875×10^0,1.455067921×10^-1,-1.680993809×10^0,3.584809510×10^-1,1.724940869×10^0
6.715857875×10^0,1.548113932×10^-1,-1.575549799×10^0,4.503570811×10^-1,1.645948127×10^0
6.725807875×10^0,1.439471935×10^-1,-1.443093408×10^0,5.067958684×10^-1,1.536255653×10^0
6.735756875×10^0,1.418415746×10^-1,-1.285579358×10^0,5.254717290×10^-1,1.396049375×10^0
6.745706875×10^0,1.576368409×10^-1,-1.111939273×10^0,5.045517071×10^-1,1.231190783×10^0
6.755655875×10^0,1.353953848×10^-1,-9.232741821×10^-1,4.747367544×10^-1,1.046968057×10^0
6.765605875×10^0,1.163690567×10^-1,-7.470484579×10^-1,4.042694736×10^-1,8.573546308×10^-1
6.775554875×10^0,7.836701542×10^-2,-5.751239455×10^-1,3.516201206×10^-1,6.786351383×10^-1
6.785504875×10^0,4.908415943×10^-2,-4.071837258×10^-1,3.065356028×10^-1,5.120272620×10^-1
6.795453875×10^0,1.369797975×10^-2,-2.248207641×10^-1,2.172006726×10^-1,3.129027689×10^-1
6.805403875×10^0,-6.060076229×10^-2,-1.617632210×10^-2,1.373196669×10^-1,1.509662767×10^-1
6.815352875×10^0,-8.349772789×10^-2,1.914635682×10^-1,-1.265337467×10^-2,2.092612635×10^-1
6.825302875×10^0,-9.058203164×10^-2,4.015259600×10^-1,-1.621397817×10^-1,4.423997172×10^-1
6.835251875×10^0,-1.252137743×10^-1,5.672226030×10^-1,-3.470370729×10^-1,6.766496143×10^-1
6.845201875×10^0,-1.542616088×10^-1,7.606368023×10^-1,-5.130228607×10^-1,9.303533977×10^-1
6.855150875×10^0,-1.768260140×10^-1,9.413976270×10^-1,-6.149328129×10^-1,1.138261523×10^0
6.865100875×10^0,-1.799425068×10^-1,1.127118645×10^0,-6.917115784×10^-1,1.334631280×10^0
6.875049875×10^0,-1.786578370×10^-1,1.301162773×10^0,-6.757530650×10^-1,1.477019089×10^0
6.884999875×10^0,-1.704367980×10^-1,1.459464442×10^0,-6.193651485×10^-1,1.594584067×10^0
6.894948875×10^0,-1.394078538×10^-1,1.585984740×10^0,-5.332356620×10^-1,1.679024246×10^0
6.904898875×10^0,-1.063588062×10^-1,1.707551277×10^0,-4.312951581×10^-1,1.764386316×10^0
6.914847875×10^0,-6.760196250×10^-2,1.836408707×10^0,-3.669407026×10^-1,1.873929680×10^0
6.924797875×10^0,-1.774717659×10^-2,1.950658624×10^0,-2.812661295×10^-1,1.970912140×10^0
6.934746875×10^0,1.197264913×10^-2,2.077778846×10^0,-1.889517505×10^-1,2.086387079×10^0
6.944696875×10^0,3.056028988×10^-2,2.164828100×10^0,-9.724285081×10^-2,2.167226524×10^0
6.954645875×10^0,5.825939097×10^-2,2.245511490×10^0,-9.959123880×10^-3,2.246289205×10^0
6.964595875×10^0,6.104902446×10^-2,2.290789989×10^0,1.038794406×10^-1,2.293956559×10^0
6.974544875×10^0,6.740344953×10^-2,2.335093757×10^0,1.473746851×10^-1,2.340710443×10^0
6.984494875×10^0,5.204471435×10^-2,2.382469652×10^0,1.325995021×10^-1,2.386724308×10^0
6.994443875×10^0,4.273722611×10^-2,2.436932373×10^0,4.800695613×10^-2,2.437779836×10^0
7.004393875×10^0,-3.112545982×10^-3,2.473708436×10^0,-1.001442392×10^-1,2.475736654×10^0
7.014343875×10^0,-3.994280521×10^-2,2.471150864×10^0,-2.685672927×10^-1,2.486023011×10^0
7.024292875×10^0,-8.087057389×10^-2,2.456693038×10^0,-4.412123282×10^-1,2.497308362×10^0
7.034242875×10^0,-1.107897897×10^-1,2.432422416×10^0,-5.763765652×10^-1,2.502231630×10^0
7.044191875×10^0,-1.511803820×10^-1,2.396722240×10^0,-6.682269676×10^-1,2.492721462×10^0
7.054141875×10^0,-1.950693999×10^-1,2.362102631×10^0,-7.073797774×10^-1,2.473452457×10^0
7.064090875×10^0,-2.053147450×10^-1,2.302541138×10^0,-7.469069552×10^-1,2.429345557×10^0
7.074040875×10^0,-2.257997707×10^-1,2.234262616×10^0,-7.617528896×10^-1,2.371325039×10^0
7.083989875×10^0,-2.187341415×10^-1,2.104239836×10^0,-7.312738395×10^-1,2.238399281×10^0
7.093939875×10^0,-1.954313060×10^-1,1.973361023×10^0,-6.967904699×10^-1,2.101871566×10^0
7.103888875×10^0,-1.701159320×10^-1,1.857587907×10^0,-6.166869776×10^-1,1.964656482×10^0
7.113838875×10^0,-1.446051514×10^-1,1.741051145×10^0,-4.819987039×10^-1,1.812316885×10^0
7.123787875×10^0,-1.088608298×10^-1,1.595716261×10^0,-3.122154419×10^-1,1.629613313×10^0
7.133737875×10^0,-6.297502421×10^-2,1.439709624×10^0,-1.207835948×10^-1,1.446139112×10^0
7.143686875×10^0,-5.336351730×10^-3,1.251686558×10^0,5.308453202×10^-2,1.252823085×10^0
7.153636875×10^0,3.115104139×10^-2,1.058265342×10^0,2.100727706×10^-1,1.079363928×10^0
7.163585875×10^0,8.348212313×10^-2,9.168323046×10^-1,2.875473547×10^-1,9.644865063×10^-1
7.173535875×10^0,1.062340412×10^-1,7.492025721×10^-1,3.193491912×10^-1,8.213245835×10^-1
7.183484875×10^0,1.249128985×10^-1,5.826943356×10^-1,3.008230193×10^-1,6.675555482×10^-1
7.193434875×10^0,1.495085899×10^-1,4.129718846×10^-1,2.938928993×10^-1,5.284615712×10^-1
7.203383875×10^0,1.514284135×10^-1,2.079749358×10^-1,2.766130614×10^-1,3.777551113×10^-1
7.213333875×10^0,1.618073675×10^-1,1.826787114×10^-2,2.477069123×10^-1,2.964355810×10^-1
7.223282875×10^0,1.366502703×10^-1,-1.591670573×10^-1,2.301149793×10^-1,3.113845728×10^-1
7.233232875×10^0,1.188311730×10^-1,-3.199765974×10^-1,1.813301973×10^-1,3.865055123×10^-1
7.243181875×10^0,9.801004205×10^-2,-4.927624047×10^-1,1.133669865×10^-1,5.150464343×10^-1
7.253131875×10^0,8.763108809×10^-2,-6.629877162×10^-1,3.694607064×10^-2,6.697737913×10^-1
7.263080875×10^0,4.958230566×10^-2,-8.515867335×10^-1,-4.331266522×10^-2,8.541278339×10^-1
7.273030875×10^0,3.850274563×10^-2,-1.029627433×10^0,-9.756181642×10^-2,1.034955758×10^0
7.282979875×10^0,1.714144159×10^-2,-1.183081176×10^0,-1.334461789×10^-1,1.190706841×10^0
7.292929875×10^0,-8.011781797×10^-4,-1.330326930×10^0,-1.260811722×10^-1,1.336288459×10^0
7.302878875×10^0,-3.673586324×10^-3,-1.470423878×10^0,-6.727206990×10^-2,1.471966511×10^0
7.312828875×10^0,-1.255437400×10^-2,-1.613223994×10^0,7.677540332×10^-3,1.613291112×10^0
7.322777875×10^0,-3.494076803×10^-4,-1.790020407×10^0,9.947385594×10^-2,1.792782259×10^0
7.332727875×10^0,4.996226504×10^-3,-1.913959744×10^0,1.882989089×10^-1,1.923206526×10^0
7.342676875×10^0,8.713228405×10^-3,-2.027269428×10^0,2.704957044×10^-1,2.045254307×10^0
7.352626875×10^0,4.420524269×10^-2,-2.112202574×10^0,3.288019462×10^-1,2.138098346×10^0
7.362575875×10^0,5.492918238×10^-2,-2.187526991×10^0,3.771253829×10^-1,2.220476324×10^0
7.372525875×10^0,8.298299018×10^-2,-2.273540118×10^0,4.377670026×10^-1,2.316788897×10^0
7.382474875×10^0,1.080545718×10^-1,-2.342772321×10^0,4.993697584×10^-1,2.397838212×10^0
7.392424875×10^0,1.378556373×10^-1,-2.405178484×10^0,5.759529345×10^-1,2.477016249×10^0
7.402373875×10^0,1.682298030×10^-1,-2.439741375×10^0,6.470505452×10^-1,2.529686473×10^0
7.412323875×10^0,1.716041581×10^-1,-2.434610444×10^0,6.971939278×10^-1,2.538278033×10^0
7.422272875×10^0,2.101110698×10^-1,-2.433082566×10^0,7.271201237×10^-1,2.548085774×10^0
7.432222875×10^0,2.275253206×10^-1,-2.398461202×10^0,7.249297567×10^-1,2.515930655×10^0
7.442172875×10^0,2.433567300×10^-1,-2.372725852×10^0,6.762657197×10^-1,2.479190552×10^0
7.452121875×10^0,2.417007255×10^-1,-2.331655009×10^0,6.052897310×10^-1,2.421034899×10^0
7.462071875×10^0,2.380331691×10^-1,-2.281022800×10^0,5.172296400×10^-1,2.351010698×10^0
7.472020875×10^0,2.343050940×10^-1,-2.190379263×10^0,4.125666726×10^-1,2.241176354×10^0
7.481970875×10^0,2.120740898×10^-1,-2.093692628×10^0,3.347039795×10^-1,2.130856869×10^0
7.491919875×10^0,1.804403607×10^-1,-1.974005386×10^0,2.633049448×10^-1,1.999646339×10^0
7.501869875×10^0,1.706620985×10^-1,-1.861745862×10^0,1.867531975×10^-1,1.878856026×10^0
7.511818875×10^0,1.414687415×10^-1,-1.766854323×10^0,1.318722546×10^-1,1.777407633×10^0
7.521768875×10^0,1.018152638×10^-1,-1.640039910×10^0,7.067778066×10^-2,1.644716572×10^0
7.531717875×10^0,7.808803014×10^-2,-1.490040702×10^0,-1.033188388×10^-2,1.492121236×10^0
7.541667875×10^0,5.725714166×10^-2,-1.326229202×10^0,-9.852426812×10^-2,1.331115813×10^0
7.551616875×10^0,9.969977774×10^-3,-1.159811012×10^0,-1.822657518×10^-1,1.174087641×10^0
7.561566875×10^0,-2.676504493×10^-2,-1.010354426×10^0,-2.249529111×10^-1,1.035440122×10^0
7.571515875×10^0,-5.050565410×10^-2,-8.745896798×10^-1,-2.059857130×10^-1,8.999377996×10^-1
7.581465875×10^0,-6.423118886×10^-2,-7.118786252×10^-1,-1.665694861×10^-1,7.339224866×10^-1
7.591414875×10^0,-7.236097477×10^-2,-5.339788431×10^-1,-1.073769526×10^-1,5.494536609×10^-1
7.601364875×10^0,-6.226316225×10^-2,-3.507493240×10^-1,-2.442820519×10^-3,3.562411501×10^-1
7.611313875×10^0,-5.468184516×10^-2,-1.568825501×10^-1,7.120739222×10^-2,1.807559997×10^-1
7.621263875×10^0,-4.538225066×10^-2,8.615287542×10^-3,1.268050575×10^-1,1.349566392×10^-1
7.631212875×10^0,-2.044570316×10^-2,1.861560506×10^-1,1.811923492×10^-1,2.605815982×10^-1
7.641162875×10^0,7.634490207×10^-3,3.591254604×10^-1,1.881924896×10^-1,4.055191671×10^-1
